date,year,month,day,weekday,temp_max,temp_min,precipitation,wind_max
2021-01-01,2021,1,1,4,8.6,3.7,4.0,21.9
2021-01-02,2021,1,2,5,5.5,0.1,0.0,17.3
2021-01-03,2021,1,3,6,4.3,-0.5,0.0,21.5
2021-01-04,2021,1,4,0,4.2,0.8,1.5,19.8
2021-01-05,2021,1,5,1,0.5,-1.5,0.2,18.3
2021-01-06,2021,1,6,2,0.7,-1.0,4.4,13.1
2021-01-07,2021,1,7,3,3.5,0.3,12.2,18.4
2021-01-08,2021,1,8,4,1.8,-0.5,2.5,26.4
2021-01-09,2021,1,9,5,1.1,-1.3,0.1,16.1
2021-01-10,2021,1,10,6,0.9,-1.2,0.1,17.6
2021-01-11,2021,1,11,0,0.4,-1.5,0.4,9.4
2021-01-12,2021,1,12,1,-0.0,-1.8,0.0,18.5
2021-01-13,2021,1,13,2,-1.8,-3.6,0.4,15.4
2021-01-14,2021,1,14,3,-0.7,-4.2,1.2,9.0
2021-01-15,2021,1,15,4,-3.2,-12.4,1.0,18.7
2021-01-16,2021,1,16,5,-12.8,-18.9,0.0,15.0
2021-01-17,2021,1,17,6,-14.0,-19.3,0.0,10.0
2021-01-18,2021,1,18,0,-14.2,-22.7,0.0,13.2
2021-01-19,2021,1,19,1,-12.8,-18.4,0.0,10.3
2021-01-20,2021,1,20,2,-9.2,-22.7,0.0,15.9
2021-01-21,2021,1,21,3,1.8,-9.0,0.6,18.6
2021-01-22,2021,1,22,4,4.5,-3.3,0.0,16.9
2021-01-23,2021,1,23,5,4.4,-2.1,0.0,15.1
2021-01-24,2021,1,24,6,7.1,0.8,0.7,24.2
2021-01-25,2021,1,25,0,6.5,3.5,7.7,27.8
2021-01-26,2021,1,26,1,5.8,0.4,5.1,39.5
2021-01-27,2021,1,27,2,0.5,-1.0,1.2,18.5
2021-01-28,2021,1,28,3,0.2,-1.6,8.5,22.4
2021-01-29,2021,1,29,4,0.3,-5.4,4.0,23.1
2021-01-30,2021,1,30,5,-3.3,-9.6,2.8,15.8
2021-01-31,2021,1,31,6,-0.9,-10.0,1.8,19.5
2021-02-01,2021,2,1,0,-3.5,-10.3,0.6,16.6
2021-02-02,2021,2,2,1,-3.0,-8.7,0.5,13.1
2021-02-03,2021,2,3,2,1.8,-5.8,0.2,14.7
2021-02-04,2021,2,4,3,4.0,-1.2,2.8,30.3
2021-02-05,2021,2,5,4,-2.1,-7.1,0.0,30.9
2021-02-06,2021,2,6,5,-2.3,-10.2,0.2,17.3
2021-02-07,2021,2,7,6,-9.7,-13.0,0.0,12.3
2021-02-08,2021,2,8,0,-8.2,-12.4,10.3,27.5
2021-02-09,2021,2,9,1,-4.1,-8.0,12.4,26.1
2021-02-10,2021,2,10,2,-3.9,-8.9,7.7,15.9
2021-02-11,2021,2,11,3,-6.4,-10.5,9.0,20.4
2021-02-12,2021,2,12,4,-7.8,-13.8,6.1,30.3
2021-02-13,2021,2,13,5,-11.0,-13.3,5.1,34.2
2021-02-14,2021,2,14,6,-3.7,-12.6,0.0,30.8
2021-02-15,2021,2,15,0,-6.2,-13.0,0.9,17.6
2021-02-16,2021,2,16,1,-10.0,-17.3,0.0,13.8
2021-02-17,2021,2,17,2,-7.0,-16.7,0.0,11.3
2021-02-18,2021,2,18,3,-8.5,-14.9,0.3,20.2
2021-02-19,2021,2,19,4,-9.2,-22.9,0.0,12.2
2021-02-20,2021,2,20,5,0.2,-13.3,0.0,15.9
2021-02-21,2021,2,21,6,2.6,-0.0,0.2,15.5
2021-02-22,2021,2,22,0,4.8,-1.7,0.0,15.4
2021-02-23,2021,2,23,1,-0.3,-4.4,0.0,16.2
2021-02-24,2021,2,24,2,2.8,-4.9,0.5,17.1
2021-02-25,2021,2,25,3,7.5,1.1,0.0,16.2
2021-02-26,2021,2,26,4,9.9,1.1,0.0,19.4
2021-02-27,2021,2,27,5,5.0,1.3,2.9,22.0
2021-02-28,2021,2,28,6,3.0,0.5,3.0,21.1
2021-03-01,2021,3,1,0,2.4,0.0,0.5,13.2
2021-03-02,2021,3,2,1,3.6,0.2,0.0,24.1
2021-03-03,2021,3,3,2,6.6,-1.6,0.0,21.4
2021-03-04,2021,3,4,3,10.1,-1.1,0.3,24.3
2021-03-05,2021,3,5,4,3.2,-0.9,1.4,18.0
2021-03-06,2021,3,6,5,2.0,-5.9,0.7,21.4
2021-03-07,2021,3,7,6,2.9,-5.3,0.2,33.5
2021-03-08,2021,3,8,0,2.3,-4.6,0.9,26.1
2021-03-09,2021,3,9,1,-1.9,-6.2,0.0,17.2
2021-03-10,2021,3,10,2,0.9,-7.8,0.0,9.8
2021-03-11,2021,3,11,3,1.9,-7.7,0.0,19.2
2021-03-12,2021,3,12,4,1.4,-4.3,6.4,34.5
2021-03-13,2021,3,13,5,9.0,-0.5,0.7,17.3
2021-03-14,2021,3,14,6,9.0,0.9,0.0,27.4
2021-03-15,2021,3,15,0,6.6,0.2,2.5,11.8
2021-03-16,2021,3,16,1,8.8,1.2,0.8,19.2
2021-03-17,2021,3,17,2,5.5,-0.9,0.0,15.9
2021-03-18,2021,3,18,3,5.7,0.0,0.1,14.7
2021-03-19,2021,3,19,4,3.1,-0.7,1.6,14.7
2021-03-20,2021,3,20,5,4.5,-2.5,0.5,13.9
2021-03-21,2021,3,21,6,3.9,-4.0,0.0,25.1
2021-03-22,2021,3,22,0,2.7,-1.0,1.2,16.0
2021-03-23,2021,3,23,1,2.4,-3.9,1.0,24.5
2021-03-24,2021,3,24,2,4.9,-3.2,0.1,24.7
2021-03-25,2021,3,25,3,7.1,-3.6,0.0,18.2
2021-03-26,2021,3,26,4,10.6,-1.9,0.0,17.8
2021-03-27,2021,3,27,5,13.0,2.7,0.1,10.9
2021-03-28,2021,3,28,6,14.2,0.2,0.3,18.4
2021-03-29,2021,3,29,0,10.4,3.9,0.1,20.7
2021-03-30,2021,3,30,1,12.6,2.9,0.0,14.8
2021-03-31,2021,3,31,2,13.4,5.0,0.4,14.7
2021-04-01,2021,4,1,3,18.6,8.7,0.8,15.0
2021-04-02,2021,4,2,4,11.7,4.0,6.0,24.2
2021-04-03,2021,4,3,5,10.3,0.9,0.0,13.0
2021-04-04,2021,4,4,6,8.3,-0.4,3.1,11.6
2021-04-05,2021,4,5,0,8.8,-1.7,0.3,16.8
2021-04-06,2021,4,6,1,12.3,2.1,0.1,21.2
2021-04-07,2021,4,7,2,5.3,0.4,4.8,19.5
2021-04-08,2021,4,8,3,7.1,-1.5,0.2,21.6
2021-04-09,2021,4,9,4,8.9,-1.3,0.5,12.3
2021-04-10,2021,4,10,5,12.4,-0.3,0.0,16.3
2021-04-11,2021,4,11,6,15.5,1.2,0.0,11.8
2021-04-12,2021,4,12,0,13.6,1.8,1.5,12.3
2021-04-13,2021,4,13,1,12.3,6.2,0.0,14.1
2021-04-14,2021,4,14,2,15.9,7.9,0.0,13.7
2021-04-15,2021,4,15,3,14.2,7.5,0.0,7.9
2021-04-16,2021,4,16,4,10.0,5.9,8.9,10.8
2021-04-17,2021,4,17,5,8.3,5.4,3.5,10.0
2021-04-18,2021,4,18,6,10.7,3.2,0.7,16.3
