date,year,month,day,weekday,temp_max,temp_min,precipitation,wind_max
2019-01-01,2019,1,1,1,0.7,-2.4,0.9,24.3
2019-01-02,2019,1,2,2,1.0,-1.3,3.1,23.7
2019-01-03,2019,1,3,3,-0.4,-6.2,0.6,15.7
2019-01-04,2019,1,4,4,-1.0,-7.5,0.6,15.3
2019-01-05,2019,1,5,5,-4.0,-5.5,2.4,21.6
2019-01-06,2019,1,6,6,-4.2,-7.1,2.4,17.6
2019-01-07,2019,1,7,0,-6.1,-8.9,0.0,16.3
2019-01-08,2019,1,8,1,-8.5,-10.7,0.0,8.5
2019-01-09,2019,1,9,2,-10.8,-16.6,0.0,11.6
2019-01-10,2019,1,10,3,-7.6,-17.1,0.3,14.2
2019-01-11,2019,1,11,4,-8.3,-11.7,0.0,18.4
2019-01-12,2019,1,12,5,-3.6,-11.7,1.5,19.5
2019-01-13,2019,1,13,6,-0.5,-3.3,1.0,21.0
2019-01-14,2019,1,14,0,0.7,-6.3,1.4,23.9
2019-01-15,2019,1,15,1,-0.8,-4.2,1.1,25.3
2019-01-16,2019,1,16,2,-1.0,-5.4,1.4,22.0
2019-01-17,2019,1,17,3,1.1,-6.8,0.0,25.1
2019-01-18,2019,1,18,4,3.4,0.1,0.8,18.4
2019-01-19,2019,1,19,5,0.4,-7.5,0.2,20.4
2019-01-20,2019,1,20,6,-4.6,-8.5,0.7,11.8
2019-01-21,2019,1,21,0,-3.0,-7.5,0.0,16.2
2019-01-22,2019,1,22,1,-4.7,-10.0,0.0,13.0
2019-01-23,2019,1,23,2,-7.7,-9.2,12.8,19.6
2019-01-24,2019,1,24,3,-7.3,-11.2,0.2,18.8
2019-01-25,2019,1,25,4,-9.3,-14.5,0.0,19.1
2019-01-26,2019,1,26,5,-6.2,-9.5,4.8,13.8
2019-01-27,2019,1,27,6,-6.3,-11.9,4.2,18.1
2019-01-28,2019,1,28,0,-2.8,-12.8,0.0,19.5
2019-01-29,2019,1,29,1,2.4,-2.3,0.3,21.6
2019-01-30,2019,1,30,2,3.3,0.3,3.6,15.3
2019-01-31,2019,1,31,3,1.5,-0.2,4.7,16.3
2019-02-01,2019,2,1,4,2.1,-0.0,0.6,14.1
2019-02-02,2019,2,2,5,2.6,0.6,0.0,17.8
2019-02-03,2019,2,3,6,3.0,0.5,0.5,17.3
2019-02-04,2019,2,4,0,5.2,0.6,0.2,16.4
2019-02-05,2019,2,5,1,0.4,-1.0,0.3,12.0
2019-02-06,2019,2,6,2,0.7,-1.6,5.6,15.3
2019-02-07,2019,2,7,3,1.3,-5.2,0.0,14.8
2019-02-08,2019,2,8,4,0.5,-4.5,0.0,10.7
2019-02-09,2019,2,9,5,-1.4,-7.2,0.0,12.3
2019-02-10,2019,2,10,6,0.9,-7.9,0.0,13.4
2019-02-11,2019,2,11,0,3.0,-3.1,0.3,23.7
2019-02-12,2019,2,12,1,1.9,0.3,11.9,23.9
2019-02-13,2019,2,13,2,0.3,-2.7,2.5,27.8
2019-02-14,2019,2,14,3,1.4,-2.2,0.5,13.5
2019-02-15,2019,2,15,4,3.0,-4.5,0.0,15.1
2019-02-16,2019,2,16,5,5.6,1.9,0.0,15.9
2019-02-17,2019,2,17,6,9.0,1.7,0.0,23.6
2019-02-18,2019,2,18,0,4.3,-3.3,0.0,18.2
2019-02-19,2019,2,19,1,6.8,-5.1,0.0,17.9
2019-02-20,2019,2,20,2,6.8,0.2,0.3,20.3
2019-02-21,2019,2,21,3,3.5,-3.7,0.1,29.4
2019-02-22,2019,2,22,4,-4.2,-6.5,0.0,26.7
2019-02-23,2019,2,23,5,-1.7,-6.7,0.4,22.7
2019-02-24,2019,2,24,6,0.8,-3.9,0.4,16.3
2019-02-25,2019,2,25,0,7.1,-0.7,0.0,25.1
2019-02-26,2019,2,26,1,2.8,0.7,3.6,25.3
2019-02-27,2019,2,27,2,2.5,-0.2,0.6,24.1
2019-02-28,2019,2,28,3,9.6,-0.5,0.2,29.7
2019-03-01,2019,3,1,4,2.9,-2.9,1.2,34.3
2019-03-02,2019,3,2,5,-0.7,-5.3,0.0,24.5
2019-03-03,2019,3,3,6,3.8,-5.8,0.0,21.3
2019-03-04,2019,3,4,0,8.0,1.8,4.5,24.2
2019-03-05,2019,3,5,1,7.2,3.8,3.6,23.5
2019-03-06,2019,3,6,2,7.8,-1.5,0.7,26.1
2019-03-07,2019,3,7,3,8.4,-1.9,0.0,24.6
2019-03-08,2019,3,8,4,16.1,5.7,0.1,24.3
2019-03-09,2019,3,9,5,12.1,4.5,0.5,19.6
2019-03-10,2019,3,10,6,7.7,1.8,1.6,33.0
2019-03-11,2019,3,11,0,8.1,-0.6,2.9,46.0
2019-03-12,2019,3,12,1,5.5,-2.7,0.6,16.6
2019-03-13,2019,3,13,2,5.0,-4.1,0.0,12.2
2019-03-14,2019,3,14,3,6.4,-0.0,0.0,21.4
2019-03-15,2019,3,15,4,8.2,0.8,0.0,17.2
2019-03-16,2019,3,16,5,5.5,0.6,3.9,23.5
2019-03-17,2019,3,17,6,9.4,2.8,0.5,23.8
2019-03-18,2019,3,18,0,16.7,2.2,0.0,25.2
2019-03-19,2019,3,19,1,9.1,5.2,3.4,19.1
2019-03-20,2019,3,20,2,8.4,3.4,2.1,12.1
2019-03-21,2019,3,21,3,7.6,-0.4,0.0,19.8
2019-03-22,2019,3,22,4,12.9,3.7,0.9,33.2
2019-03-23,2019,3,23,5,5.9,0.7,0.0,29.0
2019-03-24,2019,3,24,6,11.5,-1.8,0.4,21.5
2019-03-25,2019,3,25,0,9.6,-1.2,0.1,10.2
2019-03-26,2019,3,26,1,7.6,0.2,2.7,19.2
2019-03-27,2019,3,27,2,2.7,-1.5,7.9,25.2
2019-03-28,2019,3,28,3,5.2,-4.0,0.0,14.3
2019-03-29,2019,3,29,4,9.5,-1.2,0.0,19.9
2019-03-30,2019,3,30,5,13.8,4.6,0.0,17.9
2019-03-31,2019,3,31,6,18.1,3.0,0.0,13.6
2019-04-01,2019,4,1,0,10.1,3.5,0.0,25.3
2019-04-02,2019,4,2,1,8.6,0.2,0.0,21.6
2019-04-03,2019,4,3,2,9.5,-2.6,0.0,11.9
2019-04-04,2019,4,4,3,10.5,0.0,0.0,11.3
2019-04-05,2019,4,5,4,13.4,-2.0,0.0,12.1
2019-04-06,2019,4,6,5,14.2,0.1,0.0,14.8
2019-04-07,2019,4,7,6,17.7,4.2,0.0,22.0
2019-04-08,2019,4,8,0,19.8,7.0,0.0,15.6
2019-04-09,2019,4,9,1,18.0,9.7,0.1,14.3
2019-04-10,2019,4,10,2,15.6,6.9,0.1,21.3
2019-04-11,2019,4,11,3,12.7,8.4,8.1,20.0
2019-04-12,2019,4,12,4,8.8,5.5,2.3,22.7
2019-04-13,2019,4,13,5,9.2,3.8,0.0,19.6
2019-04-14,2019,4,14,6,8.9,1.8,0.0,23.3
2019-04-15,2019,4,15,0,6.6,0.6,1.3,26.1
2019-04-16,2019,4,16,1,11.0,3.2,10.2,25.1
2019-04-17,2019,4,17,2,13.8,6.3,1.6,24.9
2019-04-18,2019,4,18,3,13.4,2.0,0.0,10.8
2019-04-19,2019,4,19,4,13.2,3.3,0.6,18.7
2019-04-20,2019,4,20,5,14.2,2.2,0.0,9.8
2019-04-21,2019,4,21,6,14.9,5.7,0.0,18.5
2019-04-22,2019,4,22,0,15.6,2.9,0.0,14.5
2019-04-23,2019,4,23,1,18.6,3.7,0.0,12.1
2019-04-24,2019,4,24,2,20.4,4.6,0.0,13.4
2019-04-25,2019,4,25,3,20.7,5.1,0.0,17.3
2019-04-26,2019,4,26,4,21.0,7.2,0.0,14.8
2019-04-27,2019,4,27,5,21.3,10.6,5.1,20.6
2019-04-28,2019,4,28,6,21.9,10.9,6.4,15.3
2019-04-29,2019,4,29,0,14.2,7.6,16.4,22.4
2019-04-30,2019,4,30,1,11.2,6.5,2.2,17.4
2019-05-01,2019,5,1,2,11.9,4.8,14.8,18.9
2019-05-02,2019,5,2,3,16.2,6.1,1.4,18.8
2019-05-03,2019,5,3,4,19.3,7.9,2.0,18.6
2019-05-04,2019,5,4,5,16.5,8.1,0.1,15.1
2019-05-05,2019,5,5,6,20.7,10.9,0.0,24.5
2019-05-06,2019,5,6,0,17.8,12.5,4.7,23.0
2019-05-07,2019,5,7,1,19.2,12.3,10.0,15.9
2019-05-08,2019,5,8,2,12.1,7.1,0.2,24.5
2019-05-09,2019,5,9,3,13.0,6.8,1.4,11.8
2019-05-10,2019,5,10,4,15.9,8.1,0.8,13.6
2019-05-11,2019,5,11,5,18.6,9.3,4.5,14.3
2019-05-12,2019,5,12,6,19.5,7.8,0.9,8.9
2019-05-13,2019,5,13,0,20.6,9.5,0.4,9.4
2019-05-14,2019,5,14,1,22.2,13.1,0.0,11.5
2019-05-15,2019,5,15,2,23.0,12.5,5.0,10.3
2019-05-16,2019,5,16,3,24.5,14.1,3.3,23.4
2019-05-17,2019,5,17,4,25.0,16.3,0.7,23.0
2019-05-18,2019,5,18,5,24.4,15.5,0.0,22.7
2019-05-19,2019,5,19,6,24.5,13.3,0.0,18.7
2019-05-20,2019,5,20,0,25.7,15.4,0.0,24.3
2019-05-21,2019,5,21,1,22.6,16.1,10.8,28.3
2019-05-22,2019,5,22,2,21.7,12.6,3.1,8.9
2019-05-23,2019,5,23,3,23.1,13.8,1.5,9.7
2019-05-24,2019,5,24,4,23.5,14.5,1.5,7.9
2019-05-25,2019,5,25,5,21.7,13.8,7.7,13.9
2019-05-26,2019,5,26,6,22.6,14.2,0.1,21.9
2019-05-27,2019,5,27,0,25.1,13.0,0.6,15.6
2019-05-28,2019,5,28,1,26.1,17.0,0.0,25.3
2019-05-29,2019,5,29,2,26.3,16.6,3.4,23.4
2019-05-30,2019,5,30,3,25.5,16.1,1.3,14.8
2019-05-31,2019,5,31,4,24.5,16.8,0.2,13.8
2019-06-01,2019,6,1,5,25.8,17.1,2.6,17.6
2019-06-02,2019,6,2,6,25.1,16.6,1.4,10.3
2019-06-03,2019,6,3,0,26.8,16.0,0.1,11.5
2019-06-04,2019,6,4,1,27.1,16.6,0.0,18.6
2019-06-05,2019,6,5,2,24.9,17.4,3.0,19.0
